,fold_num,train_auc,train_accuracy,train_recall_macro,train_precision_macro,train_f1_macro,tune_auc,tune_accuracy,tune_recall_macro,tune_precision_macro,tune_f1_macro,test_auc,test_accuracy,test_recall_macro,test_precision_macro,test_f1_macro,C,break_ties,cache_size,class_weight,coef0,decision_function_shape,degree,gamma,kernel,max_iter,probability,random_state,shrinking,tol,verbose
0,Fold 1,0.9962599262620534,0.9642857142857143,0.9644072603516733,0.9642097802976612,0.9642743221690591,0.8586538461538461,0.7767857142857143,0.7762820512820513,0.7756635753118004,0.7759103641456582,0.8836096938775511,0.7589285714285714,0.7589285714285714,0.7596738087623921,0.7587554846429996,10,False,200,,0.0,ovr,3,scale,rbf,-1,True,714,True,0.001,False
1,Fold 2,0.9167171627160934,0.8035714285714286,0.7968276599536624,0.8100912306832992,0.7991231566361099,0.8942462230793957,0.7946428571428571,0.8066538090646094,0.8188502673796791,0.7938375350140057,0.8251953125,0.7232142857142857,0.7447916666666667,0.7534546680148297,0.7226615544372554,1,False,200,,0.0,ovr,3,scale,rbf,-1,True,715,True,0.001,False
2,Fold 3,0.9773210489014884,0.9642857142857143,0.9641389085754783,0.9646658152405279,0.9642654566080544,0.8883914294851295,0.8035714285714286,0.8030060761112888,0.8030060761112888,0.8030060761112889,0.8055821371610845,0.75,0.7492822966507178,0.7512054001928641,0.7492804605052767,1,False,200,,0.0,ovr,3,scale,poly,-1,True,716,True,0.001,False
3,Fold 4,0.9910422874982262,0.9672619047619048,0.9671136653895274,0.9673291925465839,0.9672128239019933,0.8703703703703705,0.75,0.7547892720306513,0.7714285714285714,0.7470967741935484,0.891025641025641,0.7857142857142857,0.7871794871794873,0.7857142857142857,0.7854406130268199,10,False,200,,0.0,ovr,3,scale,rbf,-1,True,717,True,0.001,False
4,Fold 5,0.9948048251076398,0.9732142857142857,0.9740775006227094,0.9726479352916135,0.9731455415737921,0.81640625,0.7410714285714286,0.7369791666666667,0.735827664399093,0.7363422355710691,0.8440997761432684,0.7857142857142857,0.7870163095618804,0.7862838915470495,0.7856459330143541,10,False,200,,0.0,ovr,3,scale,rbf,-1,True,718,True,0.001,False
