,fold_num,train_auc,train_accuracy,train_recall_macro,train_precision_macro,train_f1_macro,tune_auc,tune_accuracy,tune_recall_macro,tune_precision_macro,tune_f1_macro,test_auc,test_accuracy,test_recall_macro,test_precision_macro,test_f1_macro,C,break_ties,cache_size,class_weight,coef0,decision_function_shape,degree,gamma,kernel,max_iter,probability,random_state,shrinking,tol,verbose
0,Fold 1,0.7715009926262053,0.7023809523809523,0.7058990357345434,0.7240740740740741,0.6971881759192502,0.6368589743589743,0.6517857142857143,0.6365384615384615,0.6696535244922341,0.6267623686234298,0.7158801020408163,0.6696428571428571,0.6696428571428572,0.6793056959892146,0.665131313131313,10,False,200,,0.0,ovr,3,scale,poly,-1,True,714,True,0.001,False
1,Fold 2,0.7361967563714132,0.6755952380952381,0.6604348600962395,0.6929771908763506,0.6545133811918081,0.765348762455802,0.6785714285714286,0.7000964320154291,0.7479091995221028,0.6679841897233201,0.6962890625,0.6071428571428571,0.6432291666666667,0.6788617886178863,0.5967266775777413,10,False,200,,0.0,ovr,3,scale,rbf,-1,True,715,True,0.001,False
2,Fold 3,0.7266123316796598,0.6696428571428571,0.6675761871013466,0.6911247625591077,0.6583833295168308,0.7967700671570195,0.6785714285714286,0.6891589382795011,0.7194805194805195,0.6700490998363339,0.6716108452950558,0.7232142857142857,0.7200956937799043,0.7521929824561404,0.7131289762868709,10,False,200,,0.0,ovr,3,scale,poly,-1,True,716,True,0.001,False
3,Fold 4,0.7206257982120052,0.7113095238095238,0.7163686675180928,0.7327951448528569,0.7073670033670033,0.6829501915708812,0.6696428571428571,0.6669859514687101,0.6711947626841244,0.666425179103276,0.7538461538461539,0.6785714285714286,0.6705128205128206,0.680952380952381,0.6700490998363339,10,False,200,,0.0,ovr,3,scale,rbf,-1,True,717,True,0.001,False
4,Fold 5,0.6976479379425684,0.5327380952380952,0.5,0.2663690476190476,0.34757281553398056,0.712890625,0.42857142857142855,0.5,0.21428571428571427,0.3,0.6582986888391429,0.4732142857142857,0.5,0.23660714285714285,0.3212121212121212,10,False,200,,0.0,ovr,3,scale,linear,-1,True,718,True,0.001,False
